,centrocosto,financiadortipo,financiador,tipoimputacion,imputacion,importeimp,fechacobro,tipofactura,factura,fechaemision,importe,fechaentrega
5237,Seguridad Social y Privados,NINGUNO,O.S. PROGRAMAS MEDICOS S.A.C.M.                   ,RECX2  ,8024,38248,12/21/2020,FACB2  ,11365,10/27/2020,38248,11/13/2020
5244,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DEL ORGANISMO DE CONTROL ,RECX2  ,7991,445752.47,12/21/2020,FACB2  ,11741,11/12/2020,14288,11/13/2020
5281,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL NAVAL                    ,RECX2  ,8043,461394.38,12/22/2020,FACB2  ,11698,11/12/2020,167130.13,11/13/2020
4799,Seguridad Social y Privados,MEDICINA PREPAGA,FEMEBA QUILMES                                    ,RECX2  ,7860,108616.58,11/30/2020,FACA2  ,3759,11/12/2020,21367.58,11/12/2020
5134,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE BOXEADORES AGREMIADOS DE LA REP ARG,RECX2  ,7969,251309,12/21/2020,FACB2  ,11536,11/9/2020,52454,11/12/2020
5240,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL ELECTRICISTAS NAVALES                 ,RECX2  ,8015,59112,12/21/2020,FACB2  ,11524,11/9/2020,59112,11/12/2020
5312,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE CONDUCTORES CAMIONEROS Y PERSONAL D,RECX2  ,8053,2533475.77,12/22/2020,FACB2  ,11222,10/23/2020,89986.55,11/12/2020
5109,Seguridad Social y Privados,MEDICINA PREPAGA,GALENO ARGENTINA S.A.                             ,RECX2  ,7942,383495.38,12/18/2020,FACA2  ,3680,11/2/2020,47274,11/11/2020
5139,Seguridad Social y Privados,OS NACIONAL,O.S. DE LOS TRABAJ. DE LAS EMPRESAS DE ELECTRICIDA,RECX2  ,7978,1136107.14,12/21/2020,FACB2  ,11467,11/3/2020,42358,11/11/2020
5224,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE LOS LEGISLADORES DE LA REPUBLICA AR,RECX2  ,7988,34110,12/21/2020,FACA2  ,3685,11/3/2020,34110,11/11/2020
5279,Seguridad Social y Privados,OS NACIONAL,"OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, ",RECX2  ,8048,108757.6,12/22/2020,FACB2  ,11491,11/3/2020,172400.6,11/11/2020
5295,Seguridad Social y Privados,OS NACIONAL,"OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, ",RECX2  ,8045,127682,12/22/2020,FACB2  ,11446,11/2/2020,144154,11/11/2020
5324,Seguridad Social y Privados,MUTUAL,ASOC MUTUAL DEL PERS JERARQ DE BANCOS OFIC NAC    ,RECX2  ,8065,35096,12/23/2020,FACB2  ,11172,10/23/2020,35096,11/11/2020
4807,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL AUXILIAR DE CASAS PARTICU,RECX2  ,7794,1015368.67,11/30/2020,FACB2  ,11265,10/26/2020,215554,11/10/2020
4951,Seguridad Social y Privados,OS NACIONAL,O.S.  DE LA CAM. DE EMP. DE AG. DE REMISES DE ARG ,RECX2  ,7868,85520.1,11/30/2020,FACB2  ,11586,11/10/2020,85520.1,11/10/2020
4982,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE DOCENTES PARTICULARES              ,RECX2  ,7918,67508,12/3/2020,FACB2  ,11561,11/9/2020,74500,11/10/2020
4983,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE DOCENTES PARTICULARES              ,RECX2  ,7919,85915,12/3/2020,FACB2  ,11317,10/27/2020,104781,11/10/2020
5082,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DEL ORGANISMO DE CONTROL ,RECX2  ,7950,339238.27,12/18/2020,FACB2  ,11378,10/28/2020,42685,11/10/2020
5117,Seguridad Social y Privados,MEDICINA PREPAGA,GALENO ARGENTINA S.A.                             ,RECX2  ,7943,265592,12/18/2020,FAECA  ,444,11/9/2020,268575,11/10/2020
5257,Seguridad Social y Privados,OS NACIONAL,"OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, ",RECX2  ,8044,247264,12/22/2020,FACB2  ,11315,10/27/2020,113372,11/10/2020
5298,Seguridad Social y Privados,OS NACIONAL,O.S. DE LA ASOC. CIVIL PROSIND. AMAS DE CASA REP. ,RECX2  ,8055,4266506.59,12/22/2020,FACB2  ,11545,11/9/2020,4266506.59,11/10/2020
5310,Seguridad Social y Privados,OS NACIONAL,O.S. DEL PERS. DEL MTERIO. DE ECON. y OS. y SS.PUB,RECX2  ,8036,58097,12/22/2020,FACB2  ,11428,11/2/2020,41282,11/10/2020
5311,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL ELECTRICISTAS NAVALES                 ,RECX2  ,8063,44854,12/22/2020,FACB2  ,11404,10/29/2020,50002,11/10/2020
4827,Seguridad Social y Privados,OS NACIONAL,O.S.  DE LA CAM. DE EMP. DE AG. DE REMISES DE ARG ,RECX2  ,7881,49612,11/30/2020,FACB2  ,11278,10/26/2020,49612,11/6/2020
4833,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL ELECTRICISTAS NAVALES                 ,RECX2  ,7828,303293.23,11/30/2020,FACB2  ,11517,11/5/2020,303293.23,11/6/2020
4935,Seguridad Social y Privados,OS NACIONAL,O.S. DEL PERS. DEL MTERIO. DE ECON. y OS. y SS.PUB,RECX2  ,7904,51834,11/30/2020,FACB2  ,11290,10/26/2020,56996,11/6/2020
4963,Seguridad Social y Privados,OS NACIONAL,"OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, ",RECX2  ,7822,124756,11/30/2020,FACB2  ,11259,10/26/2020,30376,11/6/2020
5093,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE CAPATACES Y ESTIBADORES PORTUARIOS ,RECX2  ,7952,256184.76,12/18/2020,FACB2  ,11252,10/26/2020,37644,11/6/2020
5119,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE SERENOS DE BUQUES                  ,RECX2  ,7946,149099,12/18/2020,FACB2  ,11277,10/26/2020,35460,11/6/2020
4492,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE INSTALACIONES SANITARI,RECX2  ,7704,133466,11/10/2020,FACB2  ,10966,10/15/2020,133466,11/5/2020
5016,Seguridad Social y Privados,OS NACIONAL,O.S. DEL PERSONAL DE LA INDUSTRIA DEL FIBROCEMENTO,RECX2  ,7928,1650203.72,12/10/2020,FACA2  ,3542,10/16/2020,114566,11/5/2020
5183,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE PETROLEROS                         ,RECX2  ,7973,48092,12/21/2020,FACA2  ,3598,10/23/2020,48092,11/4/2020
5247,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA PUBLICIDAD         ,RECX2  ,8014,77104,12/21/2020,FACA2  ,3490,9/29/2020,77104,11/4/2020
4915,Seguridad Social y Privados,OS NACIONAL,O.S. DEL PERS. DE TELECOMUNIC. SINDICATO BS. AS.  ,RECX2  ,7905,82764,11/30/2020,FACB2  ,11056,10/20/2020,49526,11/3/2020
4984,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE DOCENTES PARTICULARES              ,RECX2  ,7921,72692,12/3/2020,FACB2  ,11039,10/19/2020,84502,11/3/2020
5005,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE DOCENTES PARTICULARES              ,RECX2  ,7920,56768,12/3/2020,FACB2  ,11208,10/23/2020,71516,11/3/2020
5159,Seguridad Social y Privados,OS NACIONAL,ACA SALUD                                         ,RECX2  ,7998,5698,12/21/2020,FACA2  ,3575,10/21/2020,39062,11/3/2020
5234,Seguridad Social y Privados,NINGUNO,O.S. PROGRAMAS MEDICOS S.A.C.M.                   ,RECX2  ,8025,47306,12/21/2020,FACB2  ,10845,10/8/2020,47306,11/3/2020
4642,PAMI,PAMI,I.N.S.S.J y P.                                    ,RECX2  ,7786,71921254.51,11/20/2020,FACB2  ,11427,11/2/2020,77334681.61,11/2/2020
5056,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL MUNICIPAL DE LA MATANZA  ,RECX2  ,7937,866020.82,12/16/2020,FACB2  ,10390,9/16/2020,25810,11/2/2020
4532,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE CONDUCTORES DE REMISES Y AUTOS AL I,RECX2  ,7728,28865,11/19/2020,FACB2  ,11076,10/20/2020,28865,10/29/2020
4668,Seguridad Social y Privados,OS NACIONAL,"OS DE MANDOS, MEDIOS DE TELECOM. EN ARG. y MERCOSU",RECX2  ,7759,974762,11/20/2020,FACB2  ,10804,10/7/2020,299400,10/29/2020
4822,Seguridad Social y Privados,OS NACIONAL,O.S.  DE LA CAM. DE EMP. DE AG. DE REMISES DE ARG ,RECX2  ,7909,330541,11/30/2020,FACB2  ,10984,10/16/2020,181848,10/29/2020
4832,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL ELECTRICISTAS NAVALES                 ,RECX2  ,7896,79612,11/30/2020,FACB2  ,11053,10/20/2020,93769,10/29/2020
4425,Seguridad Social y Privados,OS NACIONAL,"OBRA SOCIAL DEL PERSONAL DE PELUQUERIAS, ESTETICAS",RECX2  ,7665,70402,11/6/2020,FACB2  ,11006,10/19/2020,70402,10/28/2020
4619,Seguridad Social y Privados,OS NACIONAL,"OBRA SOCIAL DEL PERSONAL DE AGUAS,GASEOSAS Y AFINE",RECX2  ,7752,14804,11/20/2020,FACA2  ,3495,9/29/2020,22284,10/28/2020
4677,Seguridad Social y Privados,NINGUNO,O.S. PROGRAMAS MEDICOS S.A.C.M.                   ,RECX2  ,7774,68250,11/20/2020,FACB2  ,10531,9/21/2020,87746,10/28/2020
4679,Seguridad Social y Privados,NINGUNO,O.S. PROGRAMAS MEDICOS S.A.C.M.                   ,RECX2  ,7753,73850.4,11/20/2020,FACB2  ,10692,9/25/2020,73850.4,10/28/2020
4790,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA ENSEÑANZA PRIVADA  ,RECX2  ,7818,943430.11,11/30/2020,FACB2  ,10979,10/16/2020,125784,10/28/2020
4824,Seguridad Social y Privados,OS NACIONAL,ACCION SOCIAL DE EMPRESARIOS                      ,RECX2  ,7877,259785.72,11/30/2020,FACA2  ,3546,10/19/2020,92232,10/28/2020
5259,Seguridad Social y Privados,OS NACIONAL,OBRA SOC.DE MINISTROS SECRETARIOS Y SUBSECRETARIOS,RECX2  ,8042,559524,12/22/2020,FACB2  ,10983,10/16/2020,260912,10/28/2020
5300,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECC,RECX2  ,8059,4282494,12/22/2020,FAECA  ,427,10/28/2020,4292880,10/28/2020
4578,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE BOXEADORES AGREMIADOS DE LA REP ARG,RECX2  ,7783,191917.94,11/20/2020,FACB2  ,11013,10/19/2020,72426,10/27/2020
4891,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DEL ORGANISMO DE CONTROL ,RECX2  ,7866,194770.2,11/30/2020,FACB2  ,11015,10/19/2020,202602,10/27/2020
4965,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD DEL TURF ,RECX2  ,7825,574135.76,11/30/2020,FACA2  ,3656,10/27/2020,81001,10/27/2020
4980,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE DOCENTES PARTICULARES              ,RECX2  ,7916,306529.2,12/3/2020,FACB2  ,11239,10/26/2020,357751.2,10/27/2020
5236,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECC,RECX2  ,8029,1982085,12/21/2020,FAECA  ,418,10/26/2020,1992471,10/27/2020
5266,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL UP DEL PERSONAL CIVIL DE LA NACION    ,RECX2  ,8050,618668.12,12/22/2020,FAECA  ,413,10/22/2020,388687,10/27/2020
5301,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECC,RECX2  ,8033,1351576,12/22/2020,FAECA  ,422,10/27/2020,1351576,10/27/2020
4411,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MOLINERA ,RECX2  ,7688,1020187.21,11/6/2020,FACB2  ,10906,10/14/2020,176002,10/26/2020
4652,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUST,RECX2  ,7771,32098,11/20/2020,FACB2  ,10973,10/16/2020,39578,10/26/2020
4959,Seguridad Social y Privados,OS NACIONAL,"OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, ",RECX2  ,7856,405214.96,11/30/2020,FACB2  ,11018,10/19/2020,70436,10/26/2020
4962,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE COMISARIOS NAVALES                 ,RECX2  ,7854,114274,11/30/2020,FACA2  ,3547,10/19/2020,76796,10/26/2020
5007,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE DOCENTES PARTICULARES              ,RECX2  ,7915,53899,12/3/2020,FACB2  ,10942,10/15/2020,56575.16,10/26/2020
5200,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECC,RECX2  ,7989,597440,12/21/2020,FAECA  ,415,10/22/2020,405802,10/26/2020
5308,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE SEGUROS                            ,RECX2  ,8054,75842,12/22/2020,FACA2  ,3536,10/15/2020,85407,10/26/2020
4434,Seguridad Social y Privados,NINGUNO,O.S. PROGRAMAS MEDICOS S.A.C.M.                   ,RECX2  ,7680,37400,11/6/2020,FACB2  ,11156,10/23/2020,37400,10/23/2020
4463,Seguridad Social y Privados,NINGUNO,O.S. PROGRAMAS MEDICOS S.A.C.M.                   ,RECX2  ,7679,30184,11/6/2020,FACB2  ,11157,10/23/2020,30184,10/23/2020
4644,Seguridad Social y Privados,OS NACIONAL,ACCION SOCIAL DE EMPRESARIOS                      ,RECX2  ,7781,84745,11/20/2020,FACA2  ,3534,10/15/2020,104910,10/23/2020
4911,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE CEMENTERIOS           ,RECX2  ,7838,155933.95,11/30/2020,FACB2  ,10929,10/15/2020,155933.95,10/23/2020
4462,Seguridad Social y Privados,OS NACIONAL,O.S.  DE LA CAM. DE EMP. DE AG. DE REMISES DE ARG ,RECX2  ,7689,121007,11/6/2020,FACB2  ,10913,10/14/2020,139238,10/22/2020
4966,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CALZA,RECX2  ,7820,192032.61,11/30/2020,FACB2  ,10557,9/23/2020,198084.61,10/22/2020
4972,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE OBRAS Y SERVICIOS     ,RECX2  ,7889,63864,11/30/2020,FACA2  ,3531,10/14/2020,63864,10/22/2020
4405,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DEL ORGANISMO DE CONTROL ,RECX2  ,7664,195919,11/6/2020,FACB2  ,10897,10/14/2020,234356,10/21/2020
4975,Seguridad Social y Privados,OS NACIONAL,O. S. DEL PERSONAL DE LA IND. DE LA ALIMENTACION  ,RECX2  ,7837,298518.01,11/30/2020,FACB2  ,11129,10/21/2020,213273.81,10/21/2020
5201,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECC,RECX2  ,8011,1233516.46,12/21/2020,FAECA  ,404,10/19/2020,419206,10/21/2020
4057,Seguridad Social y Privados,OS NACIONAL,O.S.  DE LA CAM. DE EMP. DE AG. DE REMISES DE ARG ,RECX2  ,7534,90378,10/28/2020,FACB2  ,10844,10/8/2020,112912,10/20/2020
4226,Seguridad Social y Privados,OS NACIONAL,O S DE CAPITANES BAQUEANOS FLUVIALES MARINA MERC  ,RECX2  ,7638,159433.91,11/5/2020,FACB2  ,10886,10/13/2020,64654.29,10/20/2020
4256,Seguridad Social y Privados,OS NACIONAL,O S DE CAPITANES BAQUEANOS FLUVIALES MARINA MERC  ,RECX2  ,7645,171088.29,11/5/2020,FACB2  ,10886,10/13/2020,64654.29,10/20/2020
4258,Seguridad Social y Privados,OS NACIONAL,O S DE CAPITANES BAQUEANOS FLUVIALES MARINA MERC  ,RECX2  ,7635,148032.87,11/5/2020,FACB2  ,10886,10/13/2020,64654.29,10/20/2020
4275,Seguridad Social y Privados,OS NACIONAL,O S DE CAPITANES BAQUEANOS FLUVIALES MARINA MERC  ,RECX2  ,7636,152086.57,11/5/2020,FACB2  ,10886,10/13/2020,64654.29,10/20/2020
4288,Seguridad Social y Privados,OS NACIONAL,O S DE CAPITANES BAQUEANOS FLUVIALES MARINA MERC  ,RECX2  ,7637,155886.92,11/5/2020,FACB2  ,10886,10/13/2020,64654.29,10/20/2020
4301,Seguridad Social y Privados,OS NACIONAL,O S DE CAPITANES BAQUEANOS FLUVIALES MARINA MERC  ,RECX2  ,7639,163234.21,11/5/2020,FACB2  ,10886,10/13/2020,64654.29,10/20/2020
4314,Seguridad Social y Privados,OS NACIONAL,O S DE CAPITANES BAQUEANOS FLUVIALES MARINA MERC  ,RECX2  ,7640,167161.27,11/5/2020,FACB2  ,10886,10/13/2020,64654.29,10/20/2020
4326,Seguridad Social y Privados,OS NACIONAL,O S DE CAPITANES BAQUEANOS FLUVIALES MARINA MERC  ,RECX2  ,7642,174635.28,11/5/2020,FACB2  ,10886,10/13/2020,64654.29,10/20/2020
4333,Seguridad Social y Privados,OS NACIONAL,O S DE CAPITANES BAQUEANOS FLUVIALES MARINA MERC  ,RECX2  ,7643,178815.66,11/5/2020,FACB2  ,10886,10/13/2020,64654.29,10/20/2020
4372,Seguridad Social y Privados,OS NACIONAL,O S DE CAPITANES BAQUEANOS FLUVIALES MARINA MERC  ,RECX2  ,7644,182742.69,11/5/2020,FACB2  ,10886,10/13/2020,64654.29,10/20/2020
4553,Seguridad Social y Privados,OS NACIONAL,FEDERACION DE CAMARAS Y CENTROS COMERCIALES ZONALE,RECX2  ,7737,512315.26,11/19/2020,FACB2  ,11040,10/20/2020,29,10/20/2020
4773,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL SUPERIOR MERCEDES BENZ AR,RECX2  ,7894,274620,11/30/2020,FACB2  ,10839,10/8/2020,76040,10/20/2020
4998,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE FABRICAS DE PINTURA   ,RECX2  ,7923,99184.46,12/3/2020,FACA2  ,3520,10/13/2020,82022,10/20/2020
5094,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE PATRONES DE CABOTAJE DE RIOS Y PUER,RECX2  ,7957,406027.98,12/18/2020,FAECA  ,405,10/19/2020,302464.98,10/20/2020
5176,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE ENTIDADES DEPORTIVAS Y,RECX2  ,7999,225067,12/21/2020,FACB2  ,11037,10/19/2020,226762.42,10/20/2020
3979,Seguridad Social y Privados,OS NACIONAL,"OS DE MANDOS, MEDIOS DE TELECOM. EN ARG. y MERCOSU",RECX2  ,7562,826823.55,10/28/2020,FACB2  ,10860,10/9/2020,514652.22,10/19/2020
4919,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE SEGUROS                            ,RECX2  ,7827,85812,11/30/2020,FACA2  ,3515,10/8/2020,85812,10/19/2020
4932,Seguridad Social y Privados,OS NACIONAL,O.S. DEL PERS. DEL MTERIO. DE ECON. y OS. y SS.PUB,RECX2  ,7796,228890.27,11/30/2020,FACB2  ,10841,10/8/2020,102018,10/19/2020
5128,Seguridad Social y Privados,OS NACIONAL,O. S. CONDUCT. DE TRANS. DE COLECTIVO DE PASAJEROS,RECX2  ,7960,423300.8,12/18/2020,FACB2  ,10855,10/9/2020,423300.8,10/19/2020
4836,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL UP DEL PERSONAL CIVIL DE LA NACION    ,RECX2  ,7829,1972192.65,11/30/2020,FAECA  ,384,10/13/2020,1067105,10/16/2020
4848,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL UP DEL PERSONAL CIVIL DE LA NACION    ,RECX2  ,7855,5507550.87,11/30/2020,FAECA  ,395,10/15/2020,186203,10/16/2020
4774,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE LOS MEDICOS DE LA CIUDAD DE BUENOS ,RECX2  ,7799,2454056.75,11/30/2020,FACA2  ,3482,9/25/2020,578895.68,10/15/2020
4974,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECC,RECX2  ,7832,553906.28,11/30/2020,FAECA  ,387,10/14/2020,555346.28,10/15/2020
4538,Seguridad Social y Privados,OS NACIONAL,FEDERACION DE CAMARAS Y CENTROS COMERCIALES ZONALE,RECX2  ,7735,1793103.41,11/19/2020,FACB2  ,10820,10/7/2020,73831,10/14/2020
4761,Seguridad Social y Privados,OS NACIONAL,"OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, ",RECX2  ,7899,379014,11/30/2020,FACB2  ,10792,10/5/2020,463774,10/14/2020
5278,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL PODER JUDICIAL DE LA NACION           ,RECX2  ,8032,42168,12/22/2020,FACB2  ,10687,9/25/2020,42168,10/14/2020
4027,Seguridad Social y Privados,OS NACIONAL,O. S. DEL PERSONAL DE LA INDUSTRIA DEL TABACO     ,RECX2  ,7579,25205,10/28/2020,FACB2  ,10732,9/29/2020,25205,10/13/2020
4591,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE PETROLEROS                         ,RECX2  ,7760,197658,11/20/2020,FAECA  ,379,10/8/2020,213144,10/13/2020
4700,Seguridad Social y Privados,OS NACIONAL,ACA SALUD                                         ,RECX2  ,7764,2772,11/20/2020,FACA2  ,3491,9/29/2020,41343,10/13/2020
4945,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EMPLEADOS DE LA MARINA MERCANTE    ,RECX2  ,7864,35617,11/30/2020,FACB2  ,10742,9/29/2020,36547,10/13/2020
5255,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE ENTIDADES DEPORTIVAS Y,RECX2  ,8000,44913,12/21/2020,FACB2  ,10770,9/30/2020,75441.48,10/13/2020
4613,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DEL AUTOMOVIL CLUB ARGENT,RECX2  ,7748,314503,11/20/2020,FACA2  ,2902,6/30/2020,53841,10/12/2020
4649,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MADERERA ,RECX2  ,7756,68426.7,11/20/2020,FACB2  ,9440,7/29/2020,35339.7,10/12/2020
3847,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE LOS HIPODROMOS DE BUEN,RECX2  ,7492,10304,10/23/2020,FACB2  ,10670,9/25/2020,10304,10/9/2020
4055,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DEL ORGANISMO DE CONTROL ,RECX2  ,7568,253883.98,10/28/2020,FACB2  ,10702,9/25/2020,104239.98,10/9/2020
4557,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE DIRECCION                          ,RECX2  ,7734,28920,11/19/2020,FACB2  ,10673,9/25/2020,28920,10/9/2020
4918,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE SEGUROS                            ,RECX2  ,7906,31094,11/30/2020,FACA2  ,3465,9/25/2020,31094,10/9/2020
4958,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DEL PERSONAL DE TELEVISION            ,RECX2  ,7861,59689,11/30/2020,FACB2  ,10763,9/29/2020,61655,10/9/2020
5084,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE CAPATACES Y ESTIBADORES PORTUARIOS ,RECX2  ,7945,179650,12/18/2020,FACB2  ,10798,10/6/2020,169040,10/9/2020
5110,Seguridad Social y Privados,MEDICINA PREPAGA,OMINT S.A.                                        ,RECX2  ,7956,185701,12/18/2020,FACA2  ,3472,9/25/2020,37620,10/9/2020
5124,Seguridad Social y Privados,OS NACIONAL,OBRA SOCIAL DE EMPLEADOS DE LA MARINA MERCANTE    ,RECX2  ,7948,99298,12/18/2020,FACB2  ,10815,10/7/2020,100198,10/9/2020
