fecha,numero,tipo_anexo,estado,cant_dphs,financiador_sigla,financiador_nombre,importe_total
2020-01-30,12427,Internacion,Facturado,1.0,OSPERYH,OBRA SOCIAL DEL PERSONAL DE EDIFICIOS DE RENTA Y HORIZONTAL DE LA CIUDAD AUTONOMA DE BUENOS AIRES Y GRAN BUENOS AIRES,41117.00
2020-01-30,12428,Internacion,Facturado,1.0,OSPCN / ACCORD,OBRA SOCIAL UNION PERSONAL DE LA UNION DEL PERSONAL CIVIL DE LA NACION,13786.00
2020-01-30,12429,Internacion,Facturado,1.0,OSPACP,OBRA SOCIAL DEL PERSONAL AUXILIAR DE CASAS PARTICULARES,28758.00
2020-01-30,12430,Internacion,Facturado,1.0,OSDEPYM,"OBRA SOCIAL DE EMPRESARIOS, PROFESIONALES Y MONOTRIBUTISTAS",8528.00
2020-01-30,12431,Internacion,Facturado,1.0,FAA,OBRA SOCIAL DE FUTBOLISTAS,31241.00
2020-01-30,12432,Internacion,Facturado,1.0,OSPE,OBRA SOCIAL DEL PERSONAL DE ESCRIBANOS,13580.94
2020-01-30,12433,Internacion,Facturado,1.0,OSTPCHPYARA,"OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, PIZZEROS , HELADEROS Y ALFAJOREROS DE LA REPUBLICA ARGENTINA - ELEVAR",57516.00
2020-01-30,12434,Internacion,Facturado,5.0,OBSBA,OBRA SOCIAL DE LA CIUDAD DE BUENOS AIRES,44227.00
2020-01-30,12435,Internacion,Facturado,6.0,OSDE,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECCION DE EMPRESAS,69057.00
2020-01-30,12436,Internacion,Facturado,3.0,OSPECON,OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION,116456.00
2020-01-30,12437,Internacion,Facturado,4.0,INCLUIR SALUD B,MINISTERIO DE SALUD DE LA PROVINCIA DE BUENOS AIRES - INCLUIR SALUD BUENOS AIRES,1194658.26
2020-01-30,12438,Ambulatorio,Facturado,1.0,FACOEP INCLUIR ,FACOEP INCLUIR SALUD,48546.00
2020-01-30,12439,Ambulatorio,Facturado,1.0,OSECAC,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVIDADES CIVILES,80673.96
2020-01-30,12440,Ambulatorio,Facturado,1.0,INCLUIR SALUD B,MINISTERIO DE SALUD DE LA PROVINCIA DE BUENOS AIRES - INCLUIR SALUD BUENOS AIRES,9363.00
2020-01-30,12441,Ambulatorio,Facturado,1.0,IOSFA,INSTITUTO DE OBRA SOCIAL DE LAS FUERZAS ARMADAS,11705.00
2020-01-30,12442,Ambulatorio,Facturado,1.0,INCLUIR SALUD O,INCLUIR SALUD OTROS,2481.00
2020-01-30,12443,Internacion,Facturado,19.0,INSSJP,Instituto Nacional de Seguridad Social para Jubilados y Pensionados,6065797.35
2020-01-30,12444,Ambulatorio,Facturado,1.0,OSPECON,OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION,514.00
2020-01-30,12445,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,566.00
2020-01-30,12446,Ambulatorio,Facturado,1.0,OSPCN / ACCORD,OBRA SOCIAL UNION PERSONAL DE LA UNION DEL PERSONAL CIVIL DE LA NACION,2155.00
2020-01-30,12447,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,1888.00
2020-01-30,12448,Internacion,Facturado,47.0,FACOEP PAMI,FACOEP PAMI,21151546.36
2020-01-30,12449,Ambulatorio,Facturado,1.0,OSMECON,ASOCIACION MEDICOS DE SAN MARTIN Y 3 DE FEBRERO,257.00
2020-01-30,12450,Ambulatorio,Facturado,1.0,OSPCN / ACCORD,OBRA SOCIAL UNION PERSONAL DE LA UNION DEL PERSONAL CIVIL DE LA NACION,257.00
2020-01-30,12451,Ambulatorio,Facturado,1.0,OSTEE,OBRA SOCIAL DE LOS TRABAJADORES DE LAS EMPRESAS DE ELECTRICIDAD,884.00
2020-01-30,12452,Ambulatorio,Facturado,1.0,OSUTHGRA,"OBRA SOCIAL DEL PERSONAL DEL TURISMO, HOTELERO Y GASTRONOMICO DE LA UNION  DE TRABAJADORES  DEL TURISMO HOTELEROS Y GASTRONOMICOS DE LA REPUBLICA  ARGENTINA",10591.00
2020-01-30,12453,Ambulatorio,Facturado,1.0,IOMA,INSTITUTO DE OBRA MEDICO ASISTENCIAL,20572.00
2020-01-30,12454,Ambulatorio,Facturado,1.0,OSTPCHPYARA,"OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, PIZZEROS , HELADEROS Y ALFAJOREROS DE LA REPUBLICA ARGENTINA - ELEVAR",2726.00
2020-01-30,12455,Ambulatorio,Facturado,1.0,OSPSA,OBRA SOCIAL DEL PERSONAL DE LA SANIDAD ARGENTINA,7231.00
2020-01-30,12456,Ambulatorio,Facturado,1.0,OSUCI,OBRA SOCIAL DE LOS CORTADORES DE LA INDUMENTARIA,1285.00
2020-01-30,12457,Ambulatorio,Facturado,1.0,OSPERYH,OBRA SOCIAL DEL PERSONAL DE EDIFICIOS DE RENTA Y HORIZONTAL DE LA CIUDAD AUTONOMA DE BUENOS AIRES Y GRAN BUENOS AIRES,8081.00
2020-01-30,12458,Ambulatorio,Facturado,1.0,FACOEP PAMI,FACOEP PAMI,230521.00
2020-01-30,12459,Ambulatorio,Facturado,1.0,OSFGPICyD,OBRA SOCIAL DE LA FEDERACION GREMIAL DEL PERSONAL DE LA INDUSTRIA DE LA CARNE Y SUS DERIVADOS,257.00
2020-01-30,12460,Ambulatorio,Facturado,1.0,OSBARA,OBRA SOCIAL DE BOXEADORES AGREMIADOS DE LA REPUBLICA ARGENTINA,514.00
2020-01-30,12461,Ambulatorio,Facturado,1.0,OSPIC CAUCHO,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CAUCHO,257.00
2020-01-30,12462,Ambulatorio,Facturado,1.0,OSCEARA,OBRA SOCIAL DE LA CAMARA DE EMPRESARIOS DE AGENCIAS DE REMISES DE ARGENTINA,257.00
2020-01-30,12463,Ambulatorio,Facturado,1.0,OSPM,OBRA SOCIAL DEL PERSONAL DE MAESTRANZA,257.00
2020-01-31,12464,Ambulatorio,Facturado,1.0,OSCHOCA,OBRA SOCIAL DE CHOFERES DE CAMIONES Y AFINES,1542.00
2020-01-31,12465,Ambulatorio,Facturado,1.0,OSPSIP,"OBRA SOCIAL DEL PERSONAL DE SEGURIDAD COMERCIAL, INDUSTRIAL E INVESTIGACIONES PRIVADAS",5643.00
2020-01-31,12466,Ambulatorio,Facturado,1.0,OSPATCA,OBRA SOCIAL DEL PERSONAL  ADMINISTRATIVO Y TECNICO DE LA  CONSTRUCCION Y AFINES,2180.00
2020-01-31,12467,Ambulatorio,Facturado,1.0,OSBA,OBRA SOCIAL SERVICIOS SOCIALES BANCARIOS,3866.00
2020-01-31,12468,Ambulatorio,Facturado,1.0,UTA,OBRA SOCIAL CONDUCTORES DE TRANSPORTE DE COLECTIVOS DE PASAJEROS,9532.00
2020-01-31,12469,Ambulatorio,Facturado,1.0, OSPACA,OBRA SOCIAL DEL PERSONAL DEL AUTOMOVIL CLUB ARGENTINO,257.00
2020-01-31,12470,Ambulatorio,Facturado,1.0,OSPETAX,OBRA SOCIAL DE PEONES DE TAXIS DE CAPITAL FEDERAL,257.00
2020-01-31,12471,Ambulatorio,Facturado,1.0,OSPESGYPE,"OBRA SOCIAL DEL PERSONAL DE ESTACIONES DE SERVICIO, GARAGES, PLAYAS DE ESTACIONAMIENTO Y LAVADEROS AUTOMATICOS",514.00
2020-01-31,12472,Ambulatorio,Facturado,1.0,OSVVRA,OBRA SOCIAL DE VIAJANTES VENDEDORES DE LA REPUBLICA ARGENTINA,514.00
2020-01-31,12473,Ambulatorio,Facturado,1.0,SADAIC MUT,MUTUAL SADAIC,3668.00
2020-01-31,12474,Ambulatorio,Facturado,1.0,OSEIV,OBRA SOCIAL DE EMPLEADOS DE LA INDUSTRIA DEL VIDRIO,3903.00
2020-01-31,12475,Ambulatorio,Facturado,1.0,SUP BIENESTA SO,SUPERINTENDENCIA DE BIENESTAR SOCIAL DE LA POLICIA FEDERAL,2922.00
2020-01-31,12476,Ambulatorio,Facturado,1.0,OSDOP,OBRA SOCIAL DE DOCENTES PARTICULARES,823.00
2020-01-31,12477,Ambulatorio,Facturado,1.0,FEDECAMARAS,OBRA SOCIAL DE LA FEDERACION DE CAMARAS Y CENTROS COMERCIALES ZONALES DE LA REPUBLICA ARGENTINA (FEDECAMARAS),514.00
2020-01-31,12478,Ambulatorio,Facturado,1.0,OSPAÑA,OBRA SOCIAL DE LOS INMIGRANTES ESPAÑOLES Y SUS DESCENDIENTES RESIDENTES EN LA REPUBLICA ARGENTIN,1127.00
2020-01-31,12479,Ambulatorio,Facturado,1.0,PREVENCION,PREVENCION ART SA,3372.00
2020-01-31,12480,Ambulatorio,Facturado,1.0,OSPA,OBRA SOCIAL DEL PERSONAL AERONAUTICO,514.00
2020-01-31,12481,Ambulatorio,Facturado,1.0,OSPIF,"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL FOSFORO, ENCENDIDO Y AFINES",257.00
2020-01-31,12482,Ambulatorio,Facturado,1.0,UOM,OBRA SOCIAL DE LA UNION OBRERA METALURGICA DE LA REPUBLICA ARGENTINA,1064.00
2020-01-31,12483,Ambulatorio,Facturado,1.0,OSPE,OBRA SOCIAL DE PETROLEROS,7508.00
2020-01-31,12484,Ambulatorio,Facturado,1.0,OSALARA,OBRA SOCIAL AGENTES DE LOTERIAS Y AFINES DE LA REPUBLICA ARGENTINA,257.00
2020-01-31,12485,Ambulatorio,Facturado,1.0,OSIAD,"OBRA SOCIAL PARA EL PERSONAL DE LA INDUSTRIA ACEITERA, DESMOTADORA Y AFINES",257.00
2020-01-31,12486,Ambulatorio,Facturado,1.0,OS MIN SECRET Y,OBRA SOCIAL DE MINISTROS SECRETARIOS Y SUBSECRETARIOS,2295.00
2020-01-31,12487,Ambulatorio,Facturado,1.0,OSPICHA,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CHACINADO Y AFINES,257.00
2020-01-31,12488,Ambulatorio,Facturado,1.0,OSPICAL,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CALZADO,257.00
2020-01-31,12489,Ambulatorio,Facturado,1.0,OSPEDYC,OBRA SOCIAL DEL PERSONAL DE ENTIDADES DEPORTIVAS Y CIVILES,257.00
2020-01-31,12490,Ambulatorio,Facturado,1.0, OSPOCE,OBRA SOCIAL DEL PERSONAL DEL ORGANISMO DE CONTROL EXTERNO,2180.00
2020-01-31,12491,Ambulatorio,Facturado,1.0,OSPIF,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL FIBROCEMENTO,514.00
2020-01-31,12492,Ambulatorio,Facturado,1.0,SWISS MEDICAL,SWISS MEDICAL,5665.00
2020-01-31,12493,Ambulatorio,Facturado,1.0,GOODYEAR,OBRA SOCIAL DE EMPLEADOS Y PERSONAL JERARQUICO DE LA ACTIVIDAD DEL NEUMATICO ARGENTINO DE NEUMATICOS GOODYEAR SRL,257.00
2020-01-31,12494,Ambulatorio,Facturado,1.0,OSPILM,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA LADRILLERA A MAQUINA,514.00
2020-01-31,12495,Ambulatorio,Facturado,1.0,OSPL,OBRA SOCIAL DEL PERSONAL LADRILLERO,257.00
2020-01-31,12496,Ambulatorio,Facturado,1.0,OSPPCYQ,"OBRA SOCIAL DEL PERSONAL DEL PAPEL, CARTON Y QUIMICOS",257.00
2020-01-31,12497,Ambulatorio,Facturado,1.0,OSAPM,OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE LA REPUBLICA ARGENTINA,514.00
2020-01-31,12498,Ambulatorio,Facturado,1.0,DOSUBA,DIRECCION GENERAL DE OBRA SOCIAL DE LA UNIVERSIDAD DE BUENOS AIRES,1888.00
2020-01-31,12499,Ambulatorio,Facturado,1.0,OSPIT,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL TABACO,257.00
2020-01-31,12500,Ambulatorio,Facturado,1.0,OSPIT - Textil,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA TEXTIL,1698.00
2020-01-31,12501,Ambulatorio,Facturado,1.0,OSETYA,OBRA SOCIAL DE EMPLEADOS TEXTILES Y AFINES,257.00
2020-01-31,12502,Ambulatorio,Facturado,1.0,OSAPM CORDOBA,OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE CORDOBA,1389.00
2020-01-31,12503,Ambulatorio,Facturado,1.0,OSADEF,OBRA SOCIAL DE LAS ASOCIACIONES DE EMPLEADOS DE FARMACIA,257.00
2020-01-31,12504,Ambulatorio,Facturado,1.0,SIB BSAS,SOCIEDAD ITALIANA DE BENEFICENCIA DE BUENOS AIRES,3372.00
2020-01-31,12505,Ambulatorio,Facturado,1.0,OSMEDICA,OBRA SOCIAL DE LOS MEDICOS DE LA CIUDAD DE BUENOS AIRES,1501.00
2020-01-31,12506,Ambulatorio,Facturado,1.0,OSPIV VESTIDO,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL VESTIDO Y AFINES,4901.00
2020-01-31,12507,Ambulatorio,Facturado,1.0,OSPLAD,OBRA SOCIAL PARA LA ACTIVIDAD DOCENTE,19391.00
2020-01-31,12508,Ambulatorio,Facturado,1.0,OSPACP,OBRA SOCIAL DEL PERSONAL AUXILIAR DE CASAS PARTICULARES,7409.00
2020-01-31,12509,Ambulatorio,Facturado,1.0,OSDEPYM,"OBRA SOCIAL DE EMPRESARIOS, PROFESIONALES Y MONOTRIBUTISTAS",7261.00
2020-01-31,12510,Ambulatorio,Facturado,1.0,OBSBA,OBRA SOCIAL DE LA CIUDAD DE BUENOS AIRES,87227.34
2020-01-31,12511,Ambulatorio,Facturado,1.0,INSSJP,Instituto Nacional de Seguridad Social para Jubilados y Pensionados,5126.00
2020-01-31,12512,Ambulatorio,Facturado,1.0,OSDE,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECCION DE EMPRESAS,16816.00
2020-02-27,12513,Internacion,Facturado,1.0,OSPIT - Textil,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA TEXTIL,37628.00
2020-02-27,12514,Internacion,Facturado,1.0,SIB BSAS,SOCIEDAD ITALIANA DE BENEFICENCIA DE BUENOS AIRES,174891.60
2020-02-27,12515,Internacion,Facturado,1.0,OSCRAIA,OBRA SOCIAL DE CONDUCTORES DE REMISES Y AUTOS AL INSTANTE Y AFINES,393802.55
2020-02-27,12516,Internacion,Facturado,1.0,OSPECON,OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION,305897.34
2020-02-27,12517,Ambulatorio,Facturado,1.0,OSPIA,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DE LA ALIMENTACION,6204.00
2020-02-27,12518,Ambulatorio,Facturado,1.0,OSSEG,"OBRA SOCIAL DE LA ACTIVIDAD DE SEGUROS, REASEGUROS, CAPITALIZACION Y AHORRO Y PRESTAMO PARA LA VIVIENDA",9244.00
2020-02-27,12519,Ambulatorio,Facturado,1.0,OSPESGYPE,"OBRA SOCIAL DEL PERSONAL DE ESTACIONES DE SERVICIO, GARAGES, PLAYAS DE ESTACIONAMIENTO Y LAVADEROS AUTOMATICOS",257.00
2020-02-27,12520,Ambulatorio,Facturado,1.0,OSPRERA,OBRA SOCIAL DEL PERSONAL RURAL Y ESTIBADORES DE LA REPUBLICA ARGENTINA,1064.00
2020-02-27,12521,Ambulatorio,Facturado,1.0,OSMMEDT,"OBRA SOCIAL DE MANDOS, MEDIOS DE TELECOMUNICACIONES EN LA REPUBLICA  ARGENTINA Y MERCOSUR.",257.00
2020-02-27,12522,Ambulatorio,Facturado,1.0,OSPA,OBRA SOCIAL DEL PERSONAL AERONAUTICO,257.00
2020-02-27,12523,Ambulatorio,Facturado,1.0,OSPSA,OBRA SOCIAL DEL PERSONAL DE LA SANIDAD ARGENTINA,4004.00
2020-02-27,12524,Ambulatorio,Facturado,1.0,OSAPM,OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE LA REPUBLICA ARGENTINA,4341.00
2020-02-27,12525,Ambulatorio,Facturado,1.0,OSFE,OBRA SOCIAL FERROVIARIA,257.00
2020-02-27,12526,Internacion,Facturado,2.0,IOMA,INSTITUTO DE OBRA MEDICO ASISTENCIAL,91689.00
2020-02-27,12527,Ambulatorio,Facturado,1.0,OSDEPYM,"OBRA SOCIAL DE EMPRESARIOS, PROFESIONALES Y MONOTRIBUTISTAS",6514.00
2020-02-27,12528,Internacion,Facturado,1.0,OBSBA,OBRA SOCIAL DE LA CIUDAD DE BUENOS AIRES,11103.00
2020-02-27,12529,Ambulatorio,Facturado,1.0,UTA,OBRA SOCIAL CONDUCTORES DE TRANSPORTE DE COLECTIVOS DE PASAJEROS,4002.00
2020-02-27,12530,Internacion,Facturado,1.0,OSTPCHPYARA,"OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, PIZZEROS , HELADEROS Y ALFAJOREROS DE LA REPUBLICA ARGENTINA - ELEVAR",154948.00
2020-02-27,12531,Ambulatorio,Facturado,1.0,GALENO,GALENO ARGENTINA S.A.,2752.00
2020-02-27,12532,Internacion,Facturado,1.0,OSAMOC,OBRA SOCIAL ASOCIACION MUTUAL DE LOS OBREROS CATOLICOS PADRE FEDERICO GROTE,36035.00
2020-02-27,12533,Internacion,Facturado,1.0,PREVENCION,PREVENCION ART SA,8528.00
2020-02-27,12534,Ambulatorio,Facturado,1.0,OSPIC,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA CINEMATOGRAFICA,1848.00
2020-02-27,12535,Ambulatorio,Facturado,1.0,OSUTHGRA,"OBRA SOCIAL DEL PERSONAL DEL TURISMO, HOTELERO Y GASTRONOMICO DE LA UNION  DE TRABAJADORES  DEL TURISMO HOTELEROS Y GASTRONOMICOS DE LA REPUBLICA  ARGENTINA",3616.00
2020-02-27,12536,Internacion,Facturado,2.0,OSPSA,OBRA SOCIAL DEL PERSONAL DE LA SANIDAD ARGENTINA,132712.00
2020-02-27,12537,Internacion,Baja,,OSECAC,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVIDADES CIVILES,942433.45
2020-02-27,12538,Internacion,Facturado,1.0,OSPCN / ACCORD,OBRA SOCIAL UNION PERSONAL DE LA UNION DEL PERSONAL CIVIL DE LA NACION,36035.00
2020-02-27,12539,Internacion,Facturado,1.0,ASE,OBRA SOCIAL DEL PERSONAL DE DIRECCION  ACCION SOCIAL DE EMPRESARIOS (A:S:E.),18873.00
2020-02-27,12540,Ambulatorio,Facturado,1.0,OSPIV VESTIDO,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL VESTIDO Y AFINES,6514.00
2020-02-27,12541,Ambulatorio,Facturado,1.0,OSPEP,OBRA SOCIAL DEL PERSONAL DE PANADERIAS,630.00
2020-02-27,12542,Ambulatorio,Facturado,1.0,INCLUIR SALUD B,MINISTERIO DE SALUD DE LA PROVINCIA DE BUENOS AIRES - INCLUIR SALUD BUENOS AIRES,3938.00
2020-02-27,12543,Internacion,Facturado,1.0,INCLUIRMISIONES,INCLUIR SALUD MISIONES,157782.00
2020-02-27,12544,Ambulatorio,Facturado,1.0,OSRJA,OBRA SOCIAL DE RELOJEROS Y JOYEROS,3372.00
2020-02-27,12545,Ambulatorio,Facturado,1.0,UOM,OBRA SOCIAL DE LA UNION OBRERA METALURGICA DE LA REPUBLICA ARGENTINA,3372.00
2020-02-27,12546,Ambulatorio,Facturado,1.0,OSVVRA,OBRA SOCIAL DE VIAJANTES VENDEDORES DE LA REPUBLICA ARGENTINA,3102.00
2020-02-27,12547,Ambulatorio,Facturado,1.0,IOSFA,INSTITUTO DE OBRA SOCIAL DE LAS FUERZAS ARMADAS,11705.00
2020-02-27,12548,Ambulatorio,Facturado,1.0,OSPSIP,"OBRA SOCIAL DEL PERSONAL DE SEGURIDAD COMERCIAL, INDUSTRIAL E INVESTIGACIONES PRIVADAS",28501.00
2020-02-27,12549,Ambulatorio,Facturado,1.0,OSETYA,OBRA SOCIAL DE EMPLEADOS TEXTILES Y AFINES,9863.00
2020-02-27,12550,Ambulatorio,Facturado,1.0,OSECAC,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVIDADES CIVILES,27055.00
2020-02-27,12551,Internacion,Facturado,37.0,FACOEP PAMI,FACOEP PAMI,11876858.21
2020-02-27,12552,Ambulatorio,Facturado,1.0,OSPERYH,OBRA SOCIAL DEL PERSONAL DE EDIFICIOS DE RENTA Y HORIZONTAL DE LA CIUDAD AUTONOMA DE BUENOS AIRES Y GRAN BUENOS AIRES,4166.00
2020-02-27,12553,Ambulatorio,Facturado,1.0,OSDE,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECCION DE EMPRESAS,13597.00
2020-02-27,12554,Ambulatorio,Facturado,1.0,OSPACP,OBRA SOCIAL DEL PERSONAL AUXILIAR DE CASAS PARTICULARES,46470.00
2020-02-27,12555,Ambulatorio,Facturado,1.0,OSPLAD,OBRA SOCIAL PARA LA ACTIVIDAD DOCENTE,18328.00
2020-02-27,12556,Internacion,Facturado,12.0,INSSJP,Instituto Nacional de Seguridad Social para Jubilados y Pensionados,9749453.15
2020-02-27,12557,Internacion,Facturado,2.0,OSPETAX,OBRA SOCIAL DE PEONES DE TAXIS DE CAPITAL FEDERAL,514812.24
2020-02-27,12558,Ambulatorio,Facturado,1.0,FEDECAMARAS,OBRA SOCIAL DE LA FEDERACION DE CAMARAS Y CENTROS COMERCIALES ZONALES DE LA REPUBLICA ARGENTINA (FEDECAMARAS),1871.00
2020-02-27,12559,Internacion,Facturado,7.0,FACOEP INCLUIR ,FACOEP INCLUIR SALUD,4037494.29
2020-02-27,12560,Ambulatorio,Facturado,1.0,OSMATA,OBRA SOCIAL DEL SINDICATO DE MECANICOS Y AFINES DEL TRANSPORTE AUTOMOTOR,257.00
2020-02-27,12561,Internacion,Facturado,2.0,INCLUIR SALUD B,MINISTERIO DE SALUD DE LA PROVINCIA DE BUENOS AIRES - INCLUIR SALUD BUENOS AIRES,695337.96
2020-02-27,12562,Ambulatorio,Facturado,1.0,OSCHOCA,OBRA SOCIAL DE CHOFERES DE CAMIONES Y AFINES,1596.00
2020-02-27,12563,Ambulatorio,Facturado,1.0,OSPCN / ACCORD,OBRA SOCIAL UNION PERSONAL DE LA UNION DEL PERSONAL CIVIL DE LA NACION,7162.00
2020-02-27,12564,Ambulatorio,Facturado,1.0,FACOEP INCLUIR ,FACOEP INCLUIR SALUD,16627.00
2020-02-27,12565,Ambulatorio,Facturado,1.0,IOMA,INSTITUTO DE OBRA MEDICO ASISTENCIAL,16413.00
2020-02-27,12566,Ambulatorio,Facturado,1.0,OBSBA,OBRA SOCIAL DE LA CIUDAD DE BUENOS AIRES,44167.00
2020-02-27,12567,Ambulatorio,Facturado,1.0,FACOEP PAMI,FACOEP PAMI,132367.00
2020-02-27,12568,Ambulatorio,Facturado,1.0,INSSJP,Instituto Nacional de Seguridad Social para Jubilados y Pensionados,11705.00
2020-02-27,12569,Internacion,Facturado,8.0,OSECAC,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVIDADES CIVILES,1567768.45
2020-03-11,12570,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,2092.00
2020-03-12,12571,Oficio Judicial,Facturado,1.0,OFICIOS JUDICIA,OFICIOS JUDICIALES,2092.00
